"Mass","formula","HC","OC"
445.3324038,"C28H46O4",1.64,0.14
445.3535232,"C25H50O6",2,0.24
445.3542463,"C26H54O1S2",2.08,0.04
445.368776,"C29H50O3",1.72,0.1
446.327451,"C27H45O4N1",1.67,0.15
446.3487449,"C24H49O6N1",2.04,0.25
446.3494873,"C25H53O1N1S2",2.12,0.04
446.3769239,"C25H54O3N1P1",2.16,0.12
446.3850746,"C25H53O5N1",2.12,0.2
447.063759,"C14H24O12S2",1.71,0.86
447.0931834,"C21H20O11",0.95,0.52
447.0935057,"C14H28O8N2S3",2,0.57
447.129548,"C22H24O10",1.09,0.45
447.166636,"C15H34O9N2P2",2.27,0.6
447.178805,"C31H28O1S1",0.9,0.03
447.179058,"C20H33O9P1",1.65,0.45
447.201868,"C16H36O10N2S1",2.25,0.62
447.2023269,"C24H32O8",1.33,0.33
447.2387244,"C25H36O7",1.44,0.28
447.2396881,"C26H40O2S2",1.54,0.08
447.254356,"C22H44O1N2S3",2,0.05
447.2753024,"C26H40O6",1.54,0.23
447.275954,"C27H44O1S2",1.63,0.04
447.289697,"C22H44O5N2S1",2,0.23
447.306683,"C24H49O3S1P1",2.04,0.12
447.3117041,"C27H44O5",1.63,0.19
447.3327448,"C24H48O7",2,0.29
447.3334973,"C25H52O2S2",2.08,0.08
447.3479932,"C28H48O4",1.71,0.14
447.3514205,"C25H52O4S1",2.08,0.16
447.359129,"C27H48O3N2",1.78,0.11
447.3609963,"C25H53O4P1",2.12,0.16
447.3842737,"C29H52O3",1.79,0.1
448.3069744,"C26H43O5N1",1.65,0.19
448.3278611,"C23H47O7N1",2.04,0.3
448.328881,"C24H51O2N1S2",2.12,0.08
448.346503,"C24H51O4N1S1",2.12,0.17
448.356008,"C24H52O4N1P1",2.17,0.17
449.181032,"C15H34O11N2S1",2.27,0.73
449.181729,"C23H30O9",1.3,0.39
449.2543966,"C25H38O7",1.52,0.28
449.255451,"C26H42O2S2",1.62,0.08
449.267268,"C22H43O7P1",1.95,0.32
449.2700552,"C29H38O4",1.31,0.14
449.2825843,"C26H43O4P1",1.65,0.15
449.284884,"C33H38O1",1.15,0.03
449.285961,"C23H47O4S1P1",2.04,0.17
449.2909425,"C26H42O6",1.62,0.23
449.2917366,"C27H46O1S2",1.7,0.04
449.319115,"C27H47O3P1",1.74,0.11
449.3223097,"C24H51O3S1P1",2.12,0.12
449.323196,"C22H46O7N2",2.09,0.32
449.3272442,"C27H46O5",1.7,0.19
449.3635737,"C28H50O4",1.79,0.14
449.3999258,"C29H54O3",1.86,0.1
449.4364472,"C30H58O2",1.93,0.07
450.091079,"C17H27O7N1S1P2",1.59,0.41
450.2738345,"C20H42O6N3P1",2.1,0.3
450.3337715,"C25H45O4N3",1.8,0.16
450.3435431,"C23H49O7N1",2.13,0.3
451.16109,"C22H28O10",1.27,0.45
451.2337691,"C24H36O8",1.5,0.33
451.234614,"C25H40O3S2",1.6,0.12
451.2700137,"C25H40O7",1.6,0.28
451.2854833,"C29H40O4",1.38,0.14
451.3065379,"C26H44O6",1.69,0.23
451.307281,"C27H48O1S2",1.78,0.04
451.3193917,"C23H49O6P1",2.13,0.26
451.321171,"C22H48O5N2S1",2.18,0.23
451.34288,"C27H48O5",1.78,0.19
451.3792281,"C28H52O4",1.86,0.14
451.4156979,"C29H56O3",1.93,0.1
451.4521511,"C30H60O2",2,0.07
452.2739783,"C27H39O1N3S1",1.44,0.04
452.2865568,"C21H43O9N1",2.05,0.43
452.2873227,"C22H47O4N1S2",2.14,0.18
452.2893945,"C20H44O6N3P1",2.2,0.3
452.3018875,"C25H43O6N1",1.72,0.24
452.410949,"C28H55O3N1",1.96,0.11
453.213905,"C24H38O4S2",1.58,0.17
453.2493994,"C24H38O8",1.58,0.33
453.2647125,"C28H38O5",1.36,0.18
453.2776288,"C25H43O5P1",1.72,0.2
453.279215,"C24H42O4N2S1",1.75,0.17
453.2865653,"C26H46O2S2",1.77,0.08
453.298747,"C22H47O7P1",2.14,0.32
453.3009392,"C29H42O4",1.45,0.14
453.315602,"C25H46O3N2S1",1.84,0.12
453.3222133,"C26H46O6",1.77,0.23
453.3374291,"C30H46O3",1.53,0.1
453.3586233,"C27H50O5",1.85,0.19
453.3737185,"C31H50O2",1.61,0.06
453.377083,"C28H54O2S1",1.93,0.07
453.3948937,"C28H54O4",1.93,0.14
453.4312591,"C29H58O3",2,0.1
454.296364,"C28H41O4N1",1.46,0.14
454.3537322,"C26H49O5N1",1.88,0.19
454.390209,"C27H53O4N1",1.96,0.15
455.228691,"C23H36O9",1.57,0.39
455.2438174,"C27H36O6",1.33,0.22
455.244247,"C27H36O6",1.33,0.22
455.244874,"C28H40O1S2",1.43,0.04
455.2649892,"C24H40O8",1.67,0.33
455.2835693,"C25H44O5S1",1.76,0.2
455.2933065,"C25H45O5P1",1.8,0.2
455.3013883,"C25H44O7",1.76,0.28
455.302367,"C26H48O2S2",1.85,0.08
455.3165603,"C29H44O4",1.52,0.14
455.3294508,"C26H49O4P1",1.88,0.15
455.3377135,"C26H48O6",1.85,0.23
455.3529595,"C30H48O3",1.6,0.1
455.365899,"C27H53O3P1",1.96,0.11
455.3741329,"C27H52O5",1.93,0.19
455.4106068,"C28H56O4",2,0.14
456.174369,"C18H37O6N1S1P2",2.06,0.33
456.286772,"C26H39O4N3",1.5,0.15
456.2996218,"C23H44O4N3P1",1.91,0.17
456.332945,"C25H47O6N1",1.88,0.24
456.3694115,"C26H51O5N1",1.96,0.19
456.395878,"C29H51O1N3",1.76,0.03
457.120812,"C17H30O10S2",1.76,0.59
457.1211188,"C27H23O5P1",0.85,0.19
457.121588,"C18H34O5S4",1.89,0.28
457.186668,"C25H30O8",1.2,0.32
457.2233335,"C26H34O7",1.31,0.27
457.244278,"C23H38O9",1.65,0.39
457.2602388,"C19H44O6N2P2",2.32,0.32
457.260522,"C28H42O1S2",1.5,0.04
457.2816127,"C25H46O3S2",1.84,0.12
457.2958102,"C28H42O5",1.5,0.18
457.3088644,"C25H47O5P1",1.88,0.2
457.316945,"C25H46O7",1.84,0.28
457.3180123,"C26H50O2S2",1.92,0.08
457.3322667,"C29H46O4",1.59,0.14
457.3451434,"C26H51O4P1",1.96,0.15
457.3534363,"C26H50O6",1.92,0.23
457.354298,"C27H54O1S2",2,0.04
457.3687497,"C30H50O3",1.67,0.1
457.372221,"C27H54O3S1",2,0.11
457.3815183,"C27H55O3P1",2.04,0.11
457.3898329,"C27H54O5",2,0.19
458.070356,"C25H17O6N1S1",0.68,0.24
458.3210132,"C27H45O1N3S1",1.67,0.04
458.3851818,"C26H53O5N1",2.04,0.19
459.004619,"C22H20O1S5",0.91,0.05
459.118258,"C19H29O5N2S2P1",1.53,0.26
459.125544,"C18H24O12N2",1.33,0.67
459.202336,"C25H32O8",1.28,0.32
459.202629,"C25H32O8",1.28,0.32
459.2393668,"C18H42O7N2P2",2.33,0.39
459.239653,"C27H40O2S2",1.48,0.07
459.260005,"C23H40O9",1.74,0.39
459.2963122,"C24H44O8",1.83,0.33
459.297284,"C25H48O3S2",1.92,0.12
459.3115458,"C28H44O5",1.57,0.18
459.3327122,"C25H48O7",1.92,0.28
459.3480118,"C29H48O4",1.66,0.14
459.3700473,"C27H56O1S2",2.07,0.04
459.3843704,"C30H52O3",1.73,0.1
459.395471,"C29H52O2N2",1.79,0.07
459.3973936,"C27H57O3P1",2.11,0.11
460.121761,"C18H27O7N3S2",1.5,0.39
460.30689,"C27H43O5N1",1.59,0.19
460.3280991,"C24H47O7N1",1.96,0.29
460.328899,"C25H51O2N1S2",2.04,0.08
460.3367923,"C27H47O1N3S1",1.74,0.04
460.3651833,"C26H55O1N1S2",2.12,0.04
461.001467,"C21H18O4S4",0.86,0.19
461.115812,"C26H23O6P1",0.88,0.23
461.181814,"C24H30O9",1.25,0.38
461.2185815,"C17H40O8N2P2",2.35,0.47
461.25201,"C30H38O2S1",1.27,0.07
461.2908196,"C27H42O6",1.56,0.22
461.303801,"C24H47O6P1",1.96,0.25
461.3224985,"C25H51O3S1P1",2.04,0.12
461.3272386,"C28H46O5",1.64,0.18
461.3482964,"C25H50O7",2,0.28
461.349356,"C26H54O2S2",2.08,0.08
461.359656,"C24H50O6N2",2.08,0.25
461.3636995,"C29H50O4",1.72,0.14
461.366891,"C26H54O4S1",2.08,0.15
461.3999812,"C30H54O3",1.8,0.1
461.4364095,"C31H58O2",1.87,0.06
462.3436478,"C24H49O7N1",2.04,0.29
462.3444302,"C25H53O2N1S2",2.12,0.08
462.3621607,"C25H53O4N1S1",2.12,0.16
462.3701043,"C27H49O3N3",1.81,0.11
462.3799544,"C25H53O6N1",2.12,0.24
463.067025,"C24H16O10",0.67,0.42
463.2337112,"C25H36O8",1.44,0.32
463.265206,"C23H45O5S1P1",1.96,0.22
463.2700615,"C26H40O7",1.54,0.27
463.3064826,"C27H44O6",1.63,0.22
463.309617,"C26H45O3N2P1",1.73,0.12
463.3098685,"C24H48O6S1",2,0.25
463.3194552,"C24H49O6P1",2.04,0.25
463.327653,"C24H48O8",2,0.33
463.3347809,"C28H49O3P1",1.75,0.11
463.3381583,"C25H53O3S1P1",2.12,0.12
463.3428015,"C28H48O5",1.71,0.18
463.346267,"C25H52O5S1",2.08,0.2
463.3558825,"C25H53O5P1",2.12,0.2
463.375285,"C24H52O6N2",2.17,0.25
463.3791875,"C29H52O4",1.79,0.14
463.4156547,"C30H56O3",1.87,0.1
463.4519404,"C31H60O2",1.94,0.06
464.2741908,"C28H39O1N3S1",1.39,0.04
464.286611,"C22H43O9N1",1.95,0.41
464.3017022,"C26H43O6N1",1.65,0.23
464.302558,"C27H47O1N1S2",1.74,0.04
464.31478,"C23H48O6N1P1",2.09,0.26
465.2128928,"C24H34O9",1.42,0.38
465.229143,"C29H38O1S2",1.31,0.03
465.2647155,"C29H38O5",1.31,0.17
465.267953,"C26H42O5S1",1.62,0.19
465.2856604,"C26H42O7",1.62,0.27
465.2987486,"C23H47O7P1",2.04,0.3
465.3044772,"C27H46O4S1",1.7,0.15
465.3162043,"C34H42O1",1.24,0.03
465.317424,"C24H51O4S1P1",2.12,0.17
465.3221523,"C27H46O6",1.7,0.22
465.3351728,"C24H51O6P1",2.12,0.25
465.3585304,"C28H50O5",1.79,0.18
465.394863,"C29H54O4",1.86,0.14
465.4312054,"C30H58O3",1.93,0.1
465.4676144,"C31H62O2",2,0.06
466.085925,"C17H27O8N1S1P2",1.59,0.47
466.12228,"C18H31O7N1S1P2",1.72,0.39
466.2896417,"C28H41O1N3S1",1.46,0.04
466.307529,"C28H41O3N3",1.46,0.11
466.3182575,"C27H49O1N1S2",1.81,0.04
466.331951,"C22H49O5N3S1",2.23,0.23
466.3538625,"C27H49O5N1",1.81,0.19
466.3901748,"C28H53O4N1",1.89,0.14
467.084581,"C13H30O8N2S2P2",2.31,0.62
467.096048,"C17H25O13P1",1.47,0.76
467.097814,"C16H24O12N2S1",1.5,0.75
467.098374,"C24H20O10",0.83,0.42
467.099428,"C14H29O13S1P1",2.07,0.93
467.111224,"C21H25O10P1",1.19,0.48
467.112021,"C22H29O5S2P1",1.32,0.23
467.2285943,"C24H36O9",1.5,0.38
467.2805075,"C29H40O5",1.38,0.17
467.295011,"C25H44O4N2S1",1.76,0.16
467.3014089,"C26H44O7",1.69,0.27
467.3144437,"C23H49O7P1",2.13,0.3
467.3160635,"C22H48O6N2S1",2.18,0.27
467.3165573,"C30H44O4",1.47,0.13
467.319955,"C27H48O4S1",1.78,0.15
467.3296587,"C27H49O4P1",1.81,0.15
467.3377237,"C27H48O6",1.78,0.22
467.338643,"C28H52O1S2",1.86,0.04
467.3660725,"C28H53O3P1",1.89,0.11
467.3740605,"C28H52O5",1.86,0.18
467.4104889,"C29H56O4",1.93,0.14
467.4469655,"C30H60O3",2,0.1
467.8693302,"C10H15O4N1S8",1.5,0.4
468.102484,"C15H24O12N3P1",1.6,0.8
468.297469,"C26H47O2N1S2",1.81,0.08
468.3054997,"C28H43O1N3S1",1.54,0.04
468.320827,"C21H48O6N3P1",2.29,0.29
468.3338011,"C27H51O1N1S2",1.89,0.04
468.335951,"C25H48O3N3P1",1.92,0.12
468.4058726,"C28H55O4N1",1.96,0.14
469.102713,"C20H27O5N2S2P1",1.35,0.25
469.2442576,"C24H38O9",1.58,0.38
469.258027,"C22H47O4S2P1",2.14,0.18
469.2594516,"C28H38O6",1.36,0.21
469.2598658,"C28H38O6",1.36,0.21
469.2603044,"C29H42O1S2",1.45,0.03
469.28062,"C25H42O8",1.68,0.32
469.2815517,"C26H46O3S2",1.77,0.12
469.291205,"C26H47O3S1P1",1.81,0.12
469.2958375,"C29H42O5",1.45,0.17
469.2993,"C26H46O5S1",1.77,0.19
469.310574,"C25H46O4N2S1",1.84,0.16
469.3112648,"C33H42O2",1.27,0.06
469.314448,"C30H46O2S1",1.53,0.07
469.3170164,"C26H46O7",1.77,0.27
469.3178617,"C27H50O2S2",1.85,0.07
469.3322453,"C30H46O4",1.53,0.13
469.335765,"C27H50O4S1",1.85,0.15
469.3453246,"C27H51O4P1",1.89,0.15
469.346924,"C26H50O3N2S1",1.92,0.12
469.350987,"C31H50O1S1",1.61,0.03
469.3533896,"C27H50O6",1.85,0.22
469.3687103,"C31H50O3",1.61,0.1
469.3898653,"C28H54O5",1.93,0.18
469.4051503,"C32H54O2",1.69,0.06
469.4086101,"C29H58O2S1",2,0.07
469.4262804,"C29H58O4",2,0.14
470.260679,"C20H41O11N1",2.05,0.55
470.26117,"C23H42O3N3S1P1",1.83,0.13
470.2999693,"C20H46O7N3P1",2.3,0.35
470.3123983,"C25H45O7N1",1.8,0.28
470.3209559,"C28H45O1N3S1",1.61,0.04
470.330973,"C26H49O4N1S1",1.88,0.15
470.3488489,"C26H49O6N1",1.88,0.23
470.349588,"C27H53O1N1S2",1.96,0.04
470.3850444,"C27H53O5N1",1.96,0.19
470.870153,"C18H4O4N2S5",0.22,0.22
471.202665,"C26H32O8",1.23,0.31
471.2387201,"C27H36O7",1.33,0.26
471.239054,"C27H36O7",1.33,0.26
471.239337,"C19H42O7N2P2",2.21,0.37
471.239643,"C28H40O2S2",1.43,0.07
471.2600423,"C24H40O9",1.67,0.38
471.2751182,"C28H40O6",1.43,0.21
471.2758932,"C29H44O1S2",1.52,0.03
471.2761673,"C29H44O1S2",1.52,0.03
471.288095,"C25H45O6P1",1.8,0.24
471.2962932,"C25H44O8",1.76,0.32
471.2973214,"C26H48O3S2",1.85,0.12
471.3115155,"C29H44O5",1.52,0.17
471.3269958,"C33H44O2",1.33,0.06
471.3326417,"C26H48O7",1.85,0.27
471.333592,"C27H52O2S2",1.93,0.07
471.3478502,"C30H48O4",1.6,0.13
471.359114,"C29H48O3N2",1.66,0.1
471.360921,"C27H53O4P1",1.96,0.15
471.3690164,"C27H52O6",1.93,0.22
471.3843485,"C31H52O3",1.68,0.1
471.3971216,"C28H57O3P1",2.04,0.11
471.4054773,"C28H56O5",2,0.18
472.270511,"C27H39O6N1",1.44,0.22
472.300337,"C27H43O2N3S1",1.59,0.07
472.336781,"C28H47O1N3S1",1.68,0.04
472.3644848,"C26H51O6N1",1.96,0.23
472.365227,"C27H55O1N1S2",2.04,0.04
473.101533,"C24H27O4S2P1",1.12,0.17
473.181596,"C25H30O9",1.2,0.36
473.217452,"C18H38O10N2S1",2.11,0.56
473.218865,"C27H38O3S2",1.41,0.11
473.239112,"C23H38O10",1.65,0.43
473.2552001,"C28H42O2S2",1.5,0.07
473.26732,"C24H43O7P1",1.79,0.29
473.275561,"C24H42O9",1.75,0.38
473.2908412,"C28H42O6",1.5,0.21
473.3120758,"C25H46O8",1.84,0.32
473.3128731,"C26H50O3S2",1.92,0.12
473.324217,"C25H50O2N2S2",2,0.08
473.3271672,"C29H46O5",1.59,0.17
473.341823,"C25H50O4N2S1",2,0.16
473.3483196,"C26H50O7",1.92,0.27
473.3493563,"C27H54O2S2",2,0.07
473.3635327,"C30H50O4",1.67,0.13
473.3765767,"C27H55O4P1",2.04,0.15
473.3856933,"C28H58O1S2",2.07,0.04
473.4129788,"C28H59O3P1",2.11,0.11
474.352436,"C28H49O1N3S1",1.75,0.04
474.3807373,"C27H57O1N1S2",2.11,0.04
474.4082512,"C27H58O3N1P1",2.15,0.11
474.877525,"C11H8O13S4",0.73,1.18
475.291998,"C25H48O4S2",1.92,0.16
475.303455,"C24H48O3N2S2",2,0.12
475.306519,"C28H44O6",1.57,0.21
475.3072847,"C29H48O1S2",1.66,0.03
475.321137,"C24H48O5N2S1",2,0.21
475.3276515,"C25H48O8",1.92,0.32
475.3347552,"C29H49O3P1",1.69,0.1
475.336434,"C28H48O2N2S1",1.71,0.07
475.3429113,"C29H48O5",1.66,0.17
475.3639856,"C26H52O7",2,0.27
475.3751177,"C25H52O6N2",2.08,0.24
475.3792815,"C30H52O4",1.73,0.13
476.331533,"C27H47O2N3S1",1.74,0.07
476.3494854,"C27H47O4N3",1.74,0.15
476.3779874,"C26H55O4N1S1",2.12,0.15
476.3857067,"C28H51O3N3",1.82,0.11
476.393092,"C30H55O1N1S1",1.83,0.03
476.3956969,"C26H55O6N1",2.12,0.23
476.9489305,"C14H22O4S7",1.57,0.29
477.054211,"C18H24O9S1P2",1.33,0.5
477.213124,"C25H34O9",1.36,0.36
477.2136105,"C17H40O9N2P2",2.35,0.53
477.2493923,"C26H38O8",1.46,0.31
477.2502038,"C27H42O3S2",1.56,0.11
477.2857528,"C27H42O7",1.56,0.26
477.286553,"C28H46O2S2",1.64,0.07
477.304296,"C28H46O4S1",1.64,0.14
477.3220697,"C28H46O6",1.64,0.21
477.322892,"C29H50O1S2",1.72,0.03
477.3333735,"C27H46O5N2",1.7,0.19
477.3502445,"C29H51O3P1",1.76,0.1
477.354593,"C24H50O7N2",2.08,0.29
477.3714087,"C26H55O5P1",2.12,0.19
477.4311988,"C31H58O3",1.87,0.1
477.467699,"C32H62O2",1.94,0.06
478.302165,"C23H45O9N1",1.96,0.39
478.318331,"C28H49O1N1S2",1.75,0.04
478.3303875,"C24H50O6N1P1",2.08,0.25
478.3570605,"C25H53O5N1S1",2.12,0.2
478.945918,"C13H20O7S6",1.54,0.54
479.2286154,"C25H36O9",1.44,0.36
479.229622,"C26H40O4S2",1.54,0.15
479.2446415,"C30H40O1S2",1.33,0.03
479.2659968,"C27H44O3S2",1.63,0.11
479.280189,"C30H40O5",1.33,0.17
479.2931554,"C27H45O5P1",1.67,0.19
479.3013706,"C27H44O7",1.63,0.26
479.3144269,"C24H49O7P1",2.04,0.29
479.320114,"C28H48O4S1",1.71,0.14
479.3378061,"C28H48O6",1.71,0.21
479.3386198,"C29H52O1S2",1.79,0.03
479.3507369,"C25H53O6P1",2.12,0.24
479.365938,"C29H53O3P1",1.83,0.1
479.3741178,"C29H52O5",1.79,0.17
479.4105962,"C30H56O4",1.87,0.13
479.4469345,"C31H60O3",1.94,0.1
480.3053238,"C29H43O1N3S1",1.48,0.03
480.3185387,"C24H51O4N1S2",2.12,0.17
480.334044,"C28H51O1N1S2",1.82,0.04
480.361247,"C28H52O3N1P1",1.86,0.11
481.0778965,"C17H26O8N2S3",1.53,0.47
481.085307,"C19H30O6S4",1.58,0.32
481.0857249,"C18H28O9S1P2",1.56,0.5
481.0860613,"C20H34O1S6",1.7,0.05
481.0996385,"C22H26O8S2",1.18,0.36
481.110842,"C21H26O7N2S2",1.24,0.33
481.1115458,"C29H22O5S1",0.76,0.17
481.1140461,"C25H22O10",0.88,0.4
481.1145667,"C17H28O10N2P2",1.65,0.59
481.1150143,"C15H31O13S1P1",2.07,0.87
481.128575,"C21H26O9N2S1",1.24,0.43
481.142023,"C26H27O7P1",1.04,0.27
481.143229,"C16H36O10S1P2",2.25,0.62
481.184217,"C31H30O3S1",0.97,0.1
481.223213,"C28H34O7",1.21,0.25
481.245115,"C26H42O4S2",1.62,0.15
481.258875,"C21H42O8N2S1",2,0.38
481.259815,"C29H38O6",1.31,0.21
481.260078,"C21H44O6N2P2",2.1,0.29
481.260517,"C30H42O1S2",1.4,0.03
481.272579,"C26H43O6P1",1.65,0.23
481.2808015,"C26H42O8",1.62,0.31
481.2815151,"C27H46O3S2",1.7,0.11
481.2960807,"C30H42O5",1.4,0.17
481.3088789,"C27H47O5P1",1.74,0.19
481.310571,"C26H46O4N2S1",1.77,0.15
481.3129325,"C22H46O9N2",2.09,0.41
481.3170174,"C27H46O7",1.7,0.26
481.3178768,"C28H50O2S2",1.79,0.07
481.335589,"C28H50O4S1",1.79,0.14
481.3534561,"C28H50O6",1.79,0.21
481.354209,"C29H54O1S2",1.86,0.03
481.368834,"C32H50O3",1.56,0.09
481.381729,"C29H55O3P1",1.9,0.1
481.3898397,"C29H54O5",1.86,0.17
482.088275,"C27H17O8N1",0.63,0.3
482.114513,"C30H17O4N3",0.57,0.13
482.1171911,"C18H31O8N1S1P2",1.72,0.44
482.313103,"C27H49O2N1S2",1.81,0.07
482.3153427,"C25H46O4N3P1",1.84,0.16
482.348607,"C27H49O6N1",1.81,0.22
482.3497153,"C28H53O1N1S2",1.89,0.04
482.457796,"C30H61O3N1",2.03,0.1
483.093204,"C24H20O11",0.83,0.46
483.093793,"C27H21O3N2S1P1",0.78,0.11
483.1208998,"C17H29O10N2S1P1",1.71,0.59
483.1213373,"C25H25O8P1",1,0.32
483.202389,"C27H32O8",1.19,0.3
483.2387963,"C28H36O7",1.29,0.25
483.2517353,"C25H41O7P1",1.64,0.28
483.260034,"C25H40O9",1.6,0.36
483.2751257,"C29H40O6",1.38,0.21
483.2757141,"C21H46O6N2P2",2.19,0.29
483.275992,"C30H44O1S2",1.47,0.03
483.2782928,"C28H41O3N2P1",1.46,0.11
483.288216,"C26H45O6P1",1.73,0.23
483.30661,"C27H49O3S1P1",1.81,0.11
483.307459,"C25H44O7N2",1.76,0.28
483.3245511,"C27H49O5P1",1.81,0.19
483.326104,"C26H48O4N2S1",1.85,0.15
483.3327358,"C27H48O7",1.78,0.26
483.3335729,"C28H52O2S2",1.86,0.07
483.343952,"C26H48O6N2",1.85,0.23
483.3478999,"C31H48O4",1.55,0.13
483.361006,"C28H53O4P1",1.89,0.14
483.3665688,"C32H52O1S1",1.62,0.03
483.3691489,"C28H52O6",1.86,0.21
483.3699747,"C29H56O1S2",1.93,0.03
483.3842492,"C32H52O3",1.62,0.09
483.405444,"C29H56O5",1.93,0.17
483.420745,"C33H56O2",1.7,0.06
483.424166,"C30H60O2S1",2,0.07
483.4417574,"C30H60O4",2,0.13
484.270603,"C28H39O6N1",1.39,0.21
484.298543,"C29H44O3N1P1",1.52,0.1
484.3156191,"C21H48O7N3P1",2.29,0.33
484.3367017,"C29H47O1N3S1",1.62,0.03
484.4371913,"C29H59O4N1",2.03,0.14
485.218293,"C27H34O8",1.26,0.3
485.2537212,"C20H42O9N2S1",2.1,0.45
485.2546788,"C28H38O7",1.36,0.25
485.2550614,"C29H42O2S2",1.45,0.07
485.2910013,"C29H42O6",1.45,0.21
485.2913428,"C21H48O6N2P2",2.29,0.29
485.3271437,"C30H46O5",1.53,0.17
485.3402397,"C27H51O5P1",1.89,0.19
485.3483363,"C27H50O7",1.85,0.26
485.3491848,"C28H54O2S2",1.93,0.07
485.3636061,"C31H50O4",1.61,0.13
485.37485,"C30H50O3N2",1.67,0.1
485.3764841,"C28H55O4P1",1.96,0.14
485.3847266,"C28H54O6",1.93,0.21
485.3855044,"C29H58O1S2",2,0.03
485.4000652,"C32H54O3",1.69,0.09
485.421162,"C29H58O5",2,0.17
486.294899,"C20H46O8N3P1",2.3,0.4
486.3159454,"C28H45O2N3S1",1.61,0.07
486.322538,"C29H45O5N1",1.55,0.17
486.344599,"C27H53O2N1S2",1.96,0.07
486.3801146,"C27H53O6N1",1.96,0.22
486.3809185,"C28H57O1N1S2",2.04,0.04
486.3952343,"C31H53O3N1",1.71,0.1
487.1161796,"C35H20O1S1",0.57,0.03
487.197431,"C26H32O9",1.23,0.35
487.2336214,"C27H36O8",1.33,0.3
487.2340453,"C27H36O8",1.33,0.3
487.234403,"C28H40O3S2",1.43,0.11
487.2547315,"C24H40O10",1.67,0.42
487.269983,"C28H40O7",1.43,0.25
487.2708243,"C29H44O2S2",1.52,0.07
487.2913514,"C25H44O9",1.76,0.36
487.292192,"C26H48O4S2",1.85,0.15
487.298413,"C29H45O4P1",1.55,0.14
487.3064548,"C29H44O6",1.52,0.21
487.3275285,"C26H48O8",1.85,0.31
487.3283925,"C27H52O3S2",1.93,0.11
487.3427954,"C30H48O5",1.6,0.17
487.3557357,"C27H53O5P1",1.96,0.19
487.357506,"C26H52O4N2S1",2,0.15
487.3760105,"C27H56O1N2S2",2.07,0.04
487.3791583,"C31H52O4",1.68,0.13
487.3923117,"C28H57O4P1",2.04,0.14
487.4011405,"C29H60O1S2",2.07,0.03
488.331593,"C28H47O2N3S1",1.68,0.07
488.3592478,"C26H51O7N1",1.96,0.27
488.3601353,"C27H55O2N1S2",2.04,0.07
488.3681031,"C29H51O1N3S1",1.76,0.03
488.385782,"C29H51O3N3",1.76,0.1
488.387326,"C27H56O4N1P1",2.07,0.15
488.3964001,"C28H59O1N1S2",2.11,0.04
488.4319704,"C28H59O5N1",2.11,0.18
489.213037,"C26H34O9",1.31,0.35
489.2494379,"C27H38O8",1.41,0.3
489.2499295,"C19H44O8N2P2",2.32,0.42
489.277553,"C28H43O5P1",1.54,0.18
489.2856876,"C28H42O7",1.5,0.25
489.3138284,"C29H47O4P1",1.62,0.14
489.318201,"C24H46O8N2",1.92,0.33
489.3190374,"C25H50O3N2S2",2,0.12
489.3221542,"C29H46O6",1.59,0.21
489.322955,"C30H50O1S2",1.67,0.03
489.350377,"C30H51O3P1",1.7,0.1
489.3535365,"C27H55O3S1P1",2.04,0.11
489.355536,"C26H54O2N2S2",2.08,0.08
489.3585484,"C30H50O5",1.67,0.17
489.379557,"C27H54O7",2,0.26
489.379804,"C27H54O7",2,0.26
489.3948726,"C31H54O4",1.74,0.13
489.4078864,"C28H59O4P1",2.11,0.14
490.2898637,"C30H41O1N3S1",1.37,0.03
490.318161,"C29H49O1N1S2",1.69,0.03
490.3748691,"C26H53O7N1",2.04,0.27
491.2286223,"C26H36O9",1.38,0.35
491.229362,"C27H40O4S2",1.48,0.15
491.2650185,"C27H40O8",1.48,0.3
491.2658832,"C28H44O3S2",1.57,0.11
491.2966058,"C25H49O5S1P1",1.96,0.2
491.301346,"C28H44O7",1.57,0.25
491.302439,"C29H48O2S2",1.66,0.07
491.3144146,"C25H49O7P1",1.96,0.28
491.3201921,"C29H48O4S1",1.66,0.14
491.3296064,"C29H49O4P1",1.69,0.14
491.331219,"C28H48O3N2S1",1.71,0.11
491.3377221,"C29H48O6",1.66,0.21
491.3385791,"C30H52O1S2",1.73,0.03
491.3406773,"C28H49O3N2P1",1.75,0.11
491.3506225,"C26H53O6P1",2.04,0.23
491.352443,"C25H52O5N2S1",2.08,0.2
491.366002,"C30H53O3P1",1.77,0.1
491.3694112,"C27H57O3S1P1",2.11,0.11
491.3701443,"C25H52O7N2",2.08,0.28
491.3740942,"C30H52O5",1.73,0.17
491.377613,"C27H56O5S1",2.07,0.19
491.3871144,"C27H57O5P1",2.11,0.19
491.388891,"C26H56O4N2S1",2.15,0.15
491.406518,"C26H56O6N2",2.15,0.23
491.4104596,"C31H56O4",1.81,0.13
491.4832723,"C33H64O2",1.94,0.06
492.261201,"C27H43O3N1S2",1.59,0.11
492.268981,"C29H39O2N3S1",1.34,0.07
492.3053433,"C30H43O1N3S1",1.43,0.03
492.3231805,"C30H43O3N3",1.43,0.1
492.3338034,"C29H51O1N1S2",1.76,0.03
492.354999,"C26H55O3N1S2",2.12,0.12
493.0777703,"C25H18O11",0.72,0.44
493.078277,"C17H24O11N2P2",1.41,0.65
