"Mass","formula","HC","OC"
269.938022,"C7H2O5N3S1P1",0.29,0.71
270.05941,"C15H13O2N1S1",0.87,0.13
271.024886,"C14H8O6",0.57,0.43
271.0612427,"C15H12O5",0.8,0.33
271.1187425,"C13H20O6",1.54,0.46
271.129973,"C12H20O5N2",1.67,0.42
271.155125,"C14H24O5",1.71,0.36
271.1914567,"C15H28O4",1.87,0.27
271.2278476,"C16H32O3",2,0.19
273.0768302,"C15H14O5",0.93,0.33
273.1343859,"C13H22O6",1.69,0.46
273.1707869,"C14H26O5",1.86,0.36
273.185983,"C18H26O2",1.44,0.11
273.2071801,"C15H30O4",2,0.27
275.092477,"C15H16O5",1.07,0.33
275.1135965,"C12H20O7",1.67,0.58
275.2016725,"C18H28O2",1.56,0.11
277.014307,"C16H6O5",0.38,0.31
277.0717907,"C14H14O6",1,0.43
277.1081359,"C15H18O5",1.2,0.33
277.1445598,"C16H22O4",1.38,0.25
277.1842853,"C14H30O3S1",2.14,0.21
277.2173158,"C18H30O2",1.67,0.11
277.997305,"C10H6O5N3P1",0.6,0.5
278.990306,"C11H8O3N2S2",0.73,0.27
279.0299507,"C16H8O5",0.5,0.31
279.1237956,"C15H20O5",1.33,0.33
279.1602478,"C16H24O4",1.5,0.25
279.1635695,"C13H28O4S1",2.15,0.31
279.19652,"C17H28O3",1.65,0.18
279.2329694,"C18H32O2",1.78,0.11
281.0455392,"C16H10O5",0.62,0.31
281.1394628,"C15H22O5",1.47,0.33
281.1758912,"C16H26O4",1.62,0.25
281.2122371,"C17H30O3",1.76,0.18
281.2485875,"C18H34O2",1.89,0.11
283.024853,"C15H8O6",0.53,0.4
283.046734,"C13H16O3S2",1.23,0.23
283.061273,"C16H12O5",0.75,0.31
283.1186922,"C14H20O6",1.43,0.43
283.155077,"C15H24O5",1.6,0.33
283.1915218,"C16H28O4",1.75,0.25
283.2278852,"C17H32O3",1.88,0.18
283.2642271,"C18H36O2",2,0.11
283.951998,"C9H5O6N1P2",0.56,0.67
284.042087,"C12H15O3N1S2",1.25,0.25
285.0405465,"C15H10O6",0.67,0.4
285.0768805,"C16H14O5",0.88,0.31
285.1344146,"C14H22O6",1.57,0.43
285.14555,"C13H22O5N2",1.69,0.38
285.1707424,"C15H26O5",1.73,0.33
285.2070928,"C16H30O4",1.88,0.25
285.2434968,"C17H34O3",2,0.18
286.998854,"C10H12O2N2S3",1.2,0.2
287.017243,"C18H8O2S1",0.44,0.11
287.056132,"C15H12O6",0.8,0.4
287.150035,"C14H24O6",1.71,0.43
287.165239,"C18H24O3",1.33,0.17
287.1864231,"C15H28O5",1.87,0.33
287.201583,"C19H28O2",1.47,0.11
287.2227903,"C16H32O4",2,0.25
288.051436,"C14H11O6N1",0.79,0.43
289.129237,"C13H22O7",1.69,0.54
289.144511,"C17H22O4",1.29,0.24
289.180943,"C18H26O3",1.44,0.17
291.1238285,"C16H20O5",1.25,0.31
291.160184,"C17H24O4",1.41,0.24
291.1635502,"C14H28O4S1",2,0.29
291.1965779,"C18H28O3",1.56,0.17
291.1999529,"C15H32O3S1",2.13,0.2
292.213,"C14H31O5N1",2.21,0.36
293.081941,"C18H14O4",0.78,0.22
293.1030297,"C15H18O6",1.2,0.4
293.118268,"C19H18O3",0.95,0.16
293.1394276,"C16H22O5",1.38,0.31
