uid,namedLocation,domainID,siteID,plotID,nrcsDescriptionID,collectDate,horizonID,horizonName,analysisStartDate,biogeoIDnrcs,biogeoSampleType,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,airDryOvenDryRatio,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,phCacl2,phH2o,ec12pre,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,carbonTot,nitrogenTot,ctonRatio,estimatedOC,sulfurTot,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate,optDensityOxalate,alCitDithionate,feCitDithionate,mnCitDithionate,siliconCitrateDithionate,acidity,waterRetention15Bar,MehlichIIITotP,Bray1PExtractable,OlsenPExtractable,processingRemarks,laboratoryName,dataQF
e313fa6e-5e88-42d7-b926-e9af65d073cf,BARR_024.basePlot.all,D18,BARR,BARR_024,S2018AK185024,5/10/2018,18N05589,Ojj/Cgjj,8/17/2018,S2018AK185024-2,bulk,26,54,40,1.054,,,4.7,0.2,3.7,0.5,20.4,12,9.1,45,10.3,1.2,,25.4,4.2,4.9,0.4,,0,0.5,1.3,0,0.28,0,259.8,0.5,0,0.7,1.4,0,0,0,4.9,,0.7,114.9,5.4,21,115,0.8,0.08,0.45,15.9,0,0.01,0.1,0.1,0.5,0,0.1,33.4,,0.9,,2.3,,USDA NRCS Kellogg Soil Survey Laboratory,
9b00e33b-8a9c-4c5f-baa6-f0fb739ee2e0,BARR_001.basePlot.all,D18,BARR,BARR_001,S2018AK185001,5/10/2018,18N05553,Oe,8/17/2018,S2018AK185001-2,bulk,14,23,18.5,1.185,0,,4.2,0.4,3,0.9,50.6,,8.5,17,,,,,,,1.27,,0,0.2,1,0,0.22,0,1302,0.2,0.2,0.2,1,0,0,0,5.1,,0.1,502.4,25.3,20,502,7.1,0.08,1.61,40.6,15.5,0.01,0.22,0.1,1.6,0,0,95.3,,1,,8.2,The saturated paste water content value is abnormally high (i.e. > 500%) for this sample due to a high organic matter content. Organic matter has a low particle density compared to mineral matter and the SP water % is determined on a weight basis.,USDA NRCS Kellogg Soil Survey Laboratory,
2c7eeb40-b860-43b8-9e02-ee2718a80372,BARR_024.basePlot.all,D18,BARR,BARR_024,S2018AK185024,5/10/2018,18N05591,Cf,8/17/2018,S2018AK185024-4,bulk,80,100,90,1.01,,,3.5,0.2,1.8,0.1,4.4,,5.6,100,,0,,31.4,6.4,6.9,0.22,,,,,,,,,,,,,,,,,,,11.3,1,11,11,0.3,0.03,0.26,77.4,0,0.01,0.03,0,0.4,0,0,2.3,,18.5,,5.8,,USDA NRCS Kellogg Soil Survey Laboratory,
5dd58c43-c01d-4007-ab8b-dc6d832279ac,BARR_019.basePlot.all,D18,BARR,BARR_019,S2018AK185019,5/10/2018,18N05582,Oejjf/Cjjf,8/17/2018,S2018AK185019-2,bulk,54,100,77,1.079,,,20.8,0.4,4.5,0.4,46.9,2,26.1,56,26.6,0.5,,108.6,4.4,5.1,0.44,,0,1.2,0.2,0,0.26,0,253.7,0.8,0,0.5,0.6,0,0,0,5.1,,1.5,163.2,9.8,17,163,2.2,0.15,1.16,91.3,376,0,0.34,0.1,1.3,0,0.1,53.6,,0.5,,4.5,,USDA NRCS Kellogg Soil Survey Laboratory,
c3d66521-dd0a-467b-9904-b84863fda9f8,BARR_001.basePlot.all,D18,BARR,BARR_001,S2018AK185001,5/10/2018,18N05611,Cjjfg/Oajjf,8/17/2018,S2018AK185001-4B,bulk,56,100,78,1.054,,,12.4,0.5,3.2,0.2,28.3,2,16.3,58,16.7,0.4,,64.8,4.6,5.3,0.32,,0,1.1,0.5,0,0.25,0,138.7,0.5,0.1,0.5,0.7,0,0,0,5.3,,0.9,98.9,6.3,16,99,1.9,0.14,1.66,138.6,304.7,0.04,0.36,0.1,1.6,0,0,3.5,,1.8,,6.5,,USDA NRCS Kellogg Soil Survey Laboratory,
e77c42b2-c977-40b0-a622-096fbace415f,BARR_021.basePlot.all,D18,BARR,BARR_021,S2018AK185021,5/10/2018,18N05584,Cgjj/O2,8/17/2018,S2018AK185021-2,bulk,32,56,44,1.044,0,,18,0.6,11.7,3.3,26.3,,33.6,100,,,,,6.3,6.4,3.16,,0,14.7,54.3,0,6.03,0,99.9,1.9,0.5,20.8,22.6,0,0,0,6.3,,1.4,71,5.1,14,71,1.5,0.09,0.78,126,314.9,0,0.22,0.1,0.7,0,0,8.7,,14.1,,8.7,,USDA NRCS Kellogg Soil Survey Laboratory,
b16c498b-47b5-47d5-b99e-70d91b5923ce,BARR_018.basePlot.all,D18,BARR,BARR_018,S2018AK185018,5/10/2018,18N05580,Cfg,8/17/2018,S2018AK185018-4,bulk,61,100,80.5,1.056,0,,17.1,0.8,10.8,0.8,33.2,,29.5,89,,0,,60.9,5.4,5.6,1.88,,0,11.9,3.7,0,2.47,0,121.4,0.2,0.5,13.9,3.7,0,0,0,5.5,,30.1,89.4,6.5,14,89,2.3,0.15,1.44,161.8,731.2,0.02,0.3,0.1,1.4,0,0.1,22.9,,10.7,,23.7,,USDA NRCS Kellogg Soil Survey Laboratory,
7669974b-ed1d-42e3-aaf6-d89707f0148f,BARR_027.basePlot.all,D18,BARR,BARR_027,S2018AK185027,5/10/2018,18N05596,Cgjj/Oejj,8/17/2018,S2018AK185027-2,bulk,24,49,36.5,1.064,0,,8,0.6,5.6,1,37.8,13,15.2,40,17.4,2.2,,111.8,4.2,4.6,0.75,,0,2.3,5,0,0.96,0,139.4,0.8,0.2,2.5,3.4,0,0.1,0,4.4,,1.3,115.4,6.9,17,115,1.8,0.17,1.42,142.8,462.5,0.05,0.26,0.1,1.4,0,0.1,49.7,,1,,13.4,,USDA NRCS Kellogg Soil Survey Laboratory,
20ef622c-9eee-430e-aa5a-bff3fa0faa5d,BARR_019.basePlot.all,D18,BARR,BARR_019,S2018AK185019,5/10/2018,18N05581,Oe,8/17/2018,S2018AK185019-1,bulk,0,54,27,1.116,0,,13.3,0.3,4.9,0.5,54.9,6,19,35,20.3,1.3,,26.8,4.3,4.9,0.66,,0,0.8,0.8,0,0.27,0,435,0.7,0.1,0.6,1,0,0,0,5,,0.7,344.6,19.2,18,345,3.5,0.26,0.94,24.7,135.7,0,0.42,0.3,0.9,0,0,76.5,,0.4,,9.8,,USDA NRCS Kellogg Soil Survey Laboratory,
70475a8e-a837-47a0-bb45-f5549e4298f0,BARR_084.basePlot.all,D18,BARR,BARR_084,S2018AK185084,5/10/2018,18N05606,Oa/Ajj,8/17/2018,S2018AK185084-2,bulk,10,35,22.5,1.099,0,,19.6,0.1,5.4,0.3,51.6,4,25.4,49,26.4,1,,12.7,4.5,5.3,0.57,,0,1,0.2,0,0.23,0,328.2,0.9,0,0.6,0.6,0,0.1,0,5.2,,1,284.3,15.8,18,284,3.1,0.24,0.99,12,0,0.01,0.7,0.2,1,0,0,73.9,,0.2,,0.3,,USDA NRCS Kellogg Soil Survey Laboratory,
