"GHG_col","ID","W","Mass","formula","presence","Site","trmt","Material","max_reps","formulareps","include"
"GHG","10","W",221.0091704,"C10H6O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",221.0455598,"C11H10O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",221.0666847,"C8H14O7",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",221.0819245,"C12H14O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",221.1183449,"C13H18O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",221.154714,"C14H22O2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",222.0407916,"C10H9O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",222.0772063,"C11H13O4N1",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",223.0248383,"C10H8O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",223.0611994,"C11H12O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",223.0975987,"C12H16O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",223.1339767,"C13H20O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",224.0200735,"C9H7O6N1",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",224.0564824,"C10H11O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",225.0040824,"C9H6O7",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",225.0404873,"C10H10O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",225.0517056,"C9H10O5N2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",225.0768667,"C11H14O5",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",225.0880977,"C10H14O4N2",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",225.1132388,"C12H18O4",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",225.1496364,"C13H22O3",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",225.1860241,"C14H26O2",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",226.0357308,"C9H9O6N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",226.0721256,"C10H13O5N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",226.1812792,"C13H25O2N1",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
"GHG","10","W",227.0197513,"C9H8O7",1,"TOOL","FTC","Lower Mineral",4,3,TRUE
"GHG","10","W",227.0561288,"C10H12O6",1,"TOOL","FTC","Lower Mineral",4,4,TRUE
