"FT_col","ID","W","Mass","formula","presence","Site","Trtmt","Material","max_reps","formulareps","include"
"FT","01","C",371.0924908,"C23H16O5",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",371.2804065,"C21H40O5",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",371.3167443,"C22H44O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",375.3269399,"C25H44O2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",377.3062273,"C24H42O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",378.2862138,"C19H41O6N1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",379.3218429,"C24H44O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",379.3582665,"C25H48O2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",381.3011061,"C23H42O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",381.3373541,"C24H46O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",381.373878,"C25H50O2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",383.3166565,"C23H44O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",385.2960111,"C22H42O5",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",385.3324112,"C23H46O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",387.2752584,"C21H40O6",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",395.3530618,"C25H48O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",395.389413,"C26H52O2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",397.3322798,"C24H46O4",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",397.3686381,"C25H50O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",403.3218722,"C26H44O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",403.3347475,"C23H49O3P1",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",405.3374455,"C26H46O3",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",409.3688369,"C26H50O3",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",468.3338011,"C27H51O1N1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",485.3855044,"C29H58O1S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",488.3964001,"C28H59O1N1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",489.3138284,"C29H47O4P1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",490.2898637,"C30H41O1N3S1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",495.1302606,"C18H30O10N2P2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",495.3335103,"C29H52O2S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",495.3699425,"C30H56O1S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",499.40123,"C30H60O1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",501.2865358,"C30H46O2S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",503.3021493,"C30H48O2S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",507.3334761,"C30H52O2S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",507.3698588,"C31H56O1S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",509.3127324,"C29H50O3S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",509.34913,"C30H54O2S2",1,"TOOL","CON","Upper Mineral",5,5,TRUE
"FT","01","C",511.3284047,"C29H52O3S2",1,"TOOL","CON","Upper Mineral",5,4,TRUE
"FT","01","C",512.3680114,"C31H51O1N3S1",1,"TOOL","CON","Upper Mineral",5,4,TRUE
