"","site","season","temp_C"
"1","BARR","Winter",-25.6
"2","BARR","Spring",-17.3
"3","BARR","Summer",2.9
"4","BARR","Fall",-9.9
"5","BONA","Winter",-17.5
"6","BONA","Spring",0.1
"7","BONA","Summer",14
"8","BONA","Fall",-3.9
"9","HEAL","Winter",-15.4
"10","HEAL","Spring",-2
"11","HEAL","Summer",12
"12","HEAL","Fall",-4.2
"13","TOOL","Winter",-25.1
"14","TOOL","Spring",-13
"15","TOOL","Summer",9.4
"16","TOOL","Fall",-11.6
