"Mass","formula","HC","OC"
217.0830057,"C8H14O5N2",1.75,0.62
217.0870373,"C13H14O3",1.08,0.23
217.1081544,"C10H18O5",1.8,0.5
217.1193827,"C9H18O4N2",2,0.44
217.1234295,"C14H18O2",1.29,0.14
217.1445464,"C11H22O4",2,0.36
217.969977,"C5H5O3N3S2",1,0.6
218.0306631,"C7H9O7N1",1.29,1
218.0458872,"C11H9O4N1",0.82,0.36
218.0670244,"C8H13O6N1",1.62,0.75
218.1034083,"C9H17O5N1",1.89,0.56
218.990958,"C14H4O1S1",0.29,0.07
219.0146594,"C7H8O8",1.14,1.14
219.0299234,"C11H8O5",0.73,0.45
219.041175,"C10H8O4N2",0.8,0.4
219.0510384,"C8H12O7",1.5,0.88
219.0622718,"C7H12O6N2",1.71,0.86
219.066288,"C12H12O4",1,0.33
219.0874221,"C9H16O6",1.78,0.67
219.0986425,"C8H16O5N2",2,0.62
219.102683,"C13H16O3",1.23,0.23
219.1237771,"C10H20O5",2,0.5
219.139036,"C14H20O2",1.43,0.14
219.175445,"C15H24O1",1.6,0.07
219.974319,"C6H7O4N1S2",1.17,0.67
220.0251649,"C10H7O5N1",0.7,0.5
220.0615283,"C11H11O4N1",1,0.36
220.0826946,"C8H15O6N1",1.88,0.75
220.119027,"C9H19O5N1",2.11,0.56
221.0091704,"C10H6O6",0.6,0.6
221.0204062,"C9H6O5N2",0.67,0.56
221.0302987,"C7H10O8",1.43,1.14
221.0455598,"C11H10O5",0.91,0.45
221.05674,"C10H10O4N2",1,0.4
221.0601475,"C7H14O4N2S1",2,0.57
221.0666847,"C8H14O7",1.75,0.88
221.0819245,"C12H14O4",1.17,0.33
221.093122,"C11H14O3N2",1.27,0.27
221.103016,"C9H18O6",2,0.67
221.1183449,"C13H18O3",1.38,0.23
221.121693,"C10H22O3S1",2.2,0.3
221.131197,"C10H23O3P1",2.3,0.3
221.154714,"C14H22O2",1.57,0.14
222.0407916,"C10H9O5N1",0.9,0.5
222.061911,"C7H13O7N1",1.86,1
222.0772063,"C11H13O4N1",1.18,0.36
222.988423,"C9H4O7",0.44,0.78
223.0248383,"C10H8O6",0.8,0.6
223.0360541,"C9H8O5N2",0.89,0.56
223.0459456,"C7H12O8",1.71,1.14
223.0611994,"C11H12O5",1.09,0.45
223.0645625,"C8H16O5S1",2,0.62
223.072442,"C10H12O4N2",1.2,0.4
223.0823582,"C8H16O7",2,0.88
223.0975987,"C12H16O4",1.33,0.33
223.1339767,"C13H20O3",1.54,0.23
223.170356,"C14H24O2",1.71,0.14
224.0200735,"C9H7O6N1",0.78,0.67
224.0564824,"C10H11O5N1",1.1,0.5
224.0928533,"C11H15O4N1",1.36,0.36
224.978914,"C7H2O7N2",0.29,1
225.0040824,"C9H6O7",0.67,0.78
225.007405,"C6H10O7S1",1.67,1.17
225.0404873,"C10H10O6",1,0.6
225.0517056,"C9H10O5N2",1.11,0.56
225.061596,"C7H14O8",2,1.14
225.0768667,"C11H14O5",1.27,0.45
225.0880977,"C10H14O4N2",1.4,0.4
225.097987,"C8H18O7",2.25,0.88
225.1132388,"C12H18O4",1.5,0.33
225.1496364,"C13H22O3",1.69,0.23
225.1860241,"C14H26O2",1.86,0.14
