"CoreID","Mass","formula","presence"
"GHG_03_C",415.3065387,"C23H44O6",1
"GHG_03_C",415.3428589,"C24H48O5",1
"GHG_03_C",417.2646535,"C25H38O5",1
"GHG_03_C",417.3221074,"C23H46O6",1
"GHG_03_C",418.3173913,"C22H45O6N1",1
"GHG_03_C",419.244715,"C25H40O1S2",1
"GHG_03_C",419.3013852,"C22H44O7",1
"GHG_03_C",419.3296455,"C23H49O4P1",1
"GHG_03_C",421.2959454,"C25H42O5",1
"GHG_03_C",422.3123501,"C21H45O7N1",1
"GHG_03_C",423.2518191,"C20H41O7P1",1
"GHG_03_C",423.2759842,"C25H44O1S2",1
"GHG_03_C",423.3116365,"C25H44O5",1
"GHG_03_C",423.3479489,"C26H48O4",1
"GHG_03_C",423.3844095,"C27H52O3",1
"GHG_03_C",423.4208177,"C28H56O2",1
"GHG_03_C",425.3272949,"C25H46O5",1
"GHG_03_C",425.3635865,"C26H50O4",1
"GHG_03_C",425.3747435,"C25H50O3N2",1
"GHG_03_C",425.4001296,"C27H54O3",1
"GHG_03_C",427.3066388,"C24H44O6",1
"GHG_03_C",427.3429235,"C25H48O5",1
"GHG_03_C",427.3792334,"C26H52O4",1
"GHG_03_C",429.2857906,"C23H42O7",1
"GHG_03_C",429.3221274,"C24H46O6",1
"GHG_03_C",429.3586124,"C25H50O5",1
"GHG_03_C",431.3014634,"C23H44O7",1
"GHG_03_C",431.3167425,"C27H44O4",1
"GHG_03_C",431.3378909,"C24H48O6",1
"GHG_03_C",432.3331535,"C23H47O6N1",1
"GHG_03_C",432.3694946,"C24H51O5N1",1
"GHG_03_C",433.2959456,"C26H42O5",1
"GHG_03_C",433.3171111,"C23H46O7",1
"GHG_03_C",433.3687569,"C28H50O3",1
"GHG_03_C",434.3123625,"C22H45O7N1",1
"GHG_03_C",434.3309685,"C23H49O4N1S1",1
"GHG_03_C",434.3487924,"C23H49O6N1",1
"GHG_03_C",435.2751771,"C25H40O6",1
"GHG_03_C",435.3115857,"C26H44O5",1
"GHG_03_C",435.3480003,"C27H48O4",1
"GHG_03_C",435.3844616,"C28H52O3",1
"GHG_03_C",437.266676,"C24H42O1N2S2",1
"GHG_03_C",437.3636193,"C27H50O4",1
"GHG_03_C",437.4000184,"C28H54O3",1
"GHG_03_C",437.4364807,"C29H58O2",1
"GHG_03_C",439.2709379,"C25H44O2S2",1
"GHG_03_C",439.3428725,"C26H48O5",1
"GHG_03_C",439.379282,"C27H52O4",1
"GHG_03_C",439.4156863,"C28H56O3",1
"GHG_03_C",441.2858349,"C24H42O7",1
"GHG_03_C",441.3221414,"C25H46O6",1
"GHG_03_C",441.3585167,"C26H50O5",1
"GHG_03_C",441.3949712,"C27H54O4",1
"GHG_03_C",442.318255,"C25H49O1N1S2",1
"GHG_03_C",443.301416,"C24H44O7",1
"GHG_03_C",443.3378003,"C25H48O6",1
"GHG_03_C",443.3658357,"C26H53O3P1",1
"GHG_03_C",445.3088848,"C24H47O5P1",1
"GHG_03_C",445.3170813,"C24H46O7",1
"GHG_03_C",445.3324038,"C28H46O4",1
"GHG_03_C",445.3535232,"C25H50O6",1
"GHG_03_C",446.3487449,"C24H49O6N1",1
"GHG_03_C",447.201868,"C16H36O10N2S1",1
"GHG_03_C",447.2396881,"C26H40O2S2",1
"GHG_03_C",447.2753024,"C26H40O6",1
"GHG_03_C",447.3117041,"C27H44O5",1
"GHG_03_C",447.3327448,"C24H48O7",1
"GHG_03_C",447.3609963,"C25H53O4P1",1
"GHG_03_C",449.2917366,"C27H46O1S2",1
"GHG_03_C",449.3272442,"C27H46O5",1
"GHG_03_C",451.3065379,"C26H44O6",1
"GHG_03_C",451.34288,"C27H48O5",1
"GHG_03_C",451.3792281,"C28H52O4",1
"GHG_03_C",451.4521511,"C30H60O2",1
"GHG_03_C",453.298747,"C22H47O7P1",1
"GHG_03_C",453.3222133,"C26H46O6",1
"GHG_03_C",453.3374291,"C30H46O3",1
"GHG_03_C",453.3586233,"C27H50O5",1
"GHG_03_C",453.3948937,"C28H54O4",1
"GHG_03_C",453.4312591,"C29H58O3",1
"GHG_03_C",455.3013883,"C25H44O7",1
"GHG_03_C",455.3377135,"C26H48O6",1
"GHG_03_C",455.3529595,"C30H48O3",1
"GHG_03_C",455.3741329,"C27H52O5",1
"GHG_03_C",455.4106068,"C28H56O4",1
"GHG_03_C",456.332945,"C25H47O6N1",1
"GHG_03_C",456.3694115,"C26H51O5N1",1
"GHG_03_C",457.316945,"C25H46O7",1
"GHG_03_C",457.3534363,"C26H50O6",1
