"Mass","formula","El_comp","HC","OC","AImod","NOSC","C","H","O","N","S","P","Class"
340.9802815,"C14H14O2S4","CHOS",1,0.14,0.3333,-0.1429,14,14,2,0,4,0,"unsaturated/lignin"
340.987448,"C15H6O6N2S1","CHONS",0.4,0.4,0.8889,0.9333,15,6,6,2,1,0,"condensed aromatic"
341.0302967,"C17H10O8","CHO",0.59,0.47,0.6923,0.3529,17,10,8,0,0,0,"condensed aromatic"
341.0666518,"C18H14O7","CHO",0.78,0.39,0.5862,0,18,14,7,0,0,0,"aromatic"
341.1031445,"C19H18O6","CHO",0.95,0.32,0.5,-0.3158,19,18,6,0,0,0,"unsaturated/lignin"
341.1183343,"C23H18O3","CHO",0.78,0.13,0.6279,-0.5217,23,18,3,0,0,0,"aromatic"
341.152401,"C17H27O5P1","CHOP",1.59,0.29,0.1111,-1,17,27,5,0,0,1,"aliphatic"
341.1606167,"C17H26O7","CHO",1.53,0.41,0.1111,-0.7059,17,26,7,0,0,0,"aliphatic"
341.1970439,"C18H30O6","CHO",1.67,0.33,0.0667,-1,18,30,6,0,0,0,"aliphatic"
341.26977,"C20H38O4","CHO",1.9,0.2,0,-1.5,20,38,4,0,0,0,"aliphatic"
341.3061233,"C21H42O3","CHO",2,0.14,-0.0256,-1.7143,21,42,3,0,0,0,"aliphatic"
342.080761,"C11H25O1N3S4","CHONS",2.27,0.09,-1.8571,-0.5455,11,25,1,3,4,0,"aliphatic"
342.2649492,"C19H37O4N1","CHON",1.95,0.21,-0.0625,-1.3684,19,37,4,1,0,0,"aliphatic"
342.933621,"C10H4O8N2S2","CHONS",0.4,0.8,1,2.2,10,4,8,2,2,0,"condensed aromatic"
342.977319,"C13H12O5S3","CHOS",0.92,0.38,0.3333,0.3077,13,12,5,0,3,0,"unsaturated/lignin"
343.0458918,"C17H12O8","CHO",0.71,0.47,0.6154,0.2353,17,12,8,0,0,0,"aromatic"
343.0817425,"C10H20O9N2S1","CHONS",2,0.9,-2.2,0.6,10,20,9,2,1,0,"aliphatic"
343.082361,"C18H16O7","CHO",0.89,0.39,0.5172,-0.1111,18,16,7,0,0,0,"aromatic"
343.0825845,"C18H16O7","CHO",0.89,0.39,0.5172,-0.1111,18,16,7,0,0,0,"aromatic"
343.089067,"C12H24O7S2","CHOS",2,0.58,-0.6923,-0.5,12,24,7,0,2,0,"aliphatic"
343.093571,"C17H16O6N2","CHON",0.94,0.35,0.5,0.1176,17,16,6,2,0,0,"unsaturated/lignin"
343.097574,"C22H16O4","CHO",0.73,0.18,0.65,-0.3636,22,16,4,0,0,0,"aromatic"
343.1186585,"C19H20O6","CHO",1.05,0.32,0.4375,-0.4211,19,20,6,0,0,0,"unsaturated/lignin"
343.1189035,"C12H28O3N2S3","CHONS",2.33,0.25,-1.1818,-0.8333,12,28,3,2,3,0,"aliphatic"
343.1397793,"C16H24O8","CHO",1.5,0.5,0.0833,-0.5,16,24,8,0,0,0,"aliphatic"
343.1761614,"C17H28O7","CHO",1.65,0.41,0.037,-0.8235,17,28,7,0,0,0,"aliphatic"
343.2126993,"C18H32O6","CHO",1.78,0.33,0,-1.1111,18,32,6,0,0,0,"aliphatic"
343.2490741,"C19H36O5","CHO",1.89,0.26,-0.0303,-1.3684,19,36,5,0,0,0,"aliphatic"
343.2853978,"C20H40O4","CHO",2,0.2,-0.0556,-1.6,20,40,4,0,0,0,"aliphatic"
344.071038,"C16H15O4N3S1","CHONS",0.94,0.25,0.5,0.25,16,15,4,3,1,0,"unsaturated/lignin"
344.078181,"C9H21O7N3P2","CHONP",2.33,0.78,-13,0.2222,9,21,7,3,0,2,"aliphatic"
344.083449,"C10H19O12N1","CHON",1.9,1.2,-1.6667,0.8,10,19,12,1,0,0,"aliphatic"
