"V1","V2"
7.29,762
7.3,740
7.31,711
7.32,762
7.33,791
7.34,757
7.35,786
7.36,768
7.37,779
7.38,771
7.39,746
7.4,763
7.41,797
7.42,787
7.43,787
7.44,774
7.45,757
7.46,766
7.47,777
7.48,738
7.49,749
7.5,791
7.51,760
7.52,745
7.53,766
7.54,775
7.55,776
7.56,772
7.57,738
7.58,843
7.59,776
7.6,765
7.61,732
7.62,743
7.63,721
7.64,729
7.65,773
7.66,805
7.67,799
7.68,774
7.69,720
7.7,758
7.71,773
7.72,747
7.73,743
7.74,784
7.75,778
7.76,740
7.77,748
7.78,722
7.79,701
7.8,745
7.81,785
7.82,768
7.83,781
7.84,758
7.85,727
7.86,771
7.87,739
7.88,713
7.89,737
7.9,752
7.91,768
7.92,772
7.93,770
7.94,745
7.95,747
7.96,728
7.97,763
7.98,709
7.99,723
8,753
8.01,730
8.02,775
8.03,714
8.04,725
8.05,723
8.06,765
8.07,732
8.08,689
8.09,700
8.1,715
8.11,766
8.12,712
8.13,765
8.14,720
8.15,711
8.16,697
8.17,752
8.18,703
8.19,713
8.2,715
8.21,783
8.22,684
8.23,753
8.24,715
8.25,771
8.26,718
8.27,702
8.28,750
8.29,710
8.3,725
8.31,737
8.32,737
8.33,744
8.34,759
8.35,681
8.36,741
8.37,767
8.38,743
8.39,735
8.4,756
8.41,769
8.42,714
8.43,758
8.44,726
8.45,706
8.46,765
8.47,754
8.48,728
8.49,754
8.5,720
8.51,707
8.52,739
8.53,741
8.54,718
8.55,765
8.56,731
8.57,797
8.58,756
8.59,754
8.6,766
8.61,761
8.62,743
8.63,767
8.64,785
8.65,799
8.66,781
8.67,811
8.68,781
8.69,768
8.7,781
8.71,799
8.72,828
8.73,820
8.74,860
8.75,815
8.76,889
8.77,848
8.78,896
8.79,880
8.8,958
8.81,989
8.82,1038
8.83,1066
8.84,1097
8.85,1241
8.86,1242
8.87,1249
8.88,1272
8.89,1278
8.9,1177
8.91,1086
8.92,980
8.93,896
8.94,819
8.95,849
8.96,799
8.97,801
8.98,780
8.99,791
9,790
9.01,792
9.02,734
9.03,739
9.04,751
9.05,715
9.06,671
9.07,760
9.08,715
9.09,762
9.1,711
9.11,723
9.12,713
9.13,746
9.14,760
9.15,723
9.16,715
9.17,738
9.18,737
9.19,806
9.2,743
9.21,756
9.22,739
9.23,737
9.24,777
9.25,692
9.26,684
9.27,737
9.28,745
9.29,715
9.3,700
9.31,756
9.32,757
9.33,752
9.34,746
9.35,727
9.36,708
9.37,713
9.38,758
9.39,707
9.4,763
9.41,768
9.42,764
9.43,726
9.44,762
9.45,707
9.46,715
9.47,739
9.48,735
9.49,712
9.5,733
9.51,708
9.52,695
9.53,742
9.54,748
9.55,781
9.56,714
9.57,731
9.58,745
9.59,749
9.6,753
9.61,696
9.62,746
9.63,711
9.64,743
9.65,775
9.66,716
9.67,761
9.68,740
9.69,753
9.7,753
9.71,729
9.72,750
9.73,746
9.74,758
9.75,728
9.76,736
9.77,740
9.78,728
9.79,785
9.8,745
9.81,774
9.82,721
9.83,718
9.84,715
9.85,718
9.86,703
9.87,734
9.88,751
9.89,711
9.9,738
9.91,693
9.92,743
9.93,698
9.94,779
9.95,702
9.96,739
9.97,751
9.98,723
9.99,720
10,726
10.01,691
10.02,715
10.03,727
10.04,746
10.05,783
10.06,760
10.07,718
10.08,744
10.09,722
10.1,764
10.11,722
10.12,732
10.13,748
10.14,727
10.15,727
10.16,711
10.17,755
10.18,723
10.19,777
10.2,805
10.21,774
10.22,729
10.23,742
10.24,776
10.25,741
10.26,726
10.27,727
10.28,730
10.29,683
10.3,745
10.31,780
10.32,762
10.33,723
10.34,704
10.35,775
10.36,723
10.37,755
10.38,722
10.39,782
10.4,768
10.41,762
10.42,792
10.43,779
10.44,713
10.45,744
10.46,780
10.47,775
10.48,775
10.49,758
10.5,755
10.51,747
10.52,780
10.53,738
10.54,764
10.55,721
10.56,747
10.57,742
10.58,763
10.59,777
10.6,729
10.61,737
10.62,716
10.63,769
10.64,740
10.65,732
10.66,686
10.67,761
10.68,728
10.69,791
10.7,729
10.71,800
10.72,744
10.73,718
10.74,730
10.75,727
10.76,796
10.77,753
10.78,741
10.79,736
10.8,724
10.81,710
10.82,728
10.83,739
10.84,748
10.85,718
10.86,773
10.87,798
10.88,735
10.89,762
10.9,710
10.91,732
10.92,749
10.93,791
10.94,742
10.95,745
10.96,711
10.97,757
10.98,725
10.99,757
11,716
11.01,767
11.02,730
11.03,737
11.04,748
11.05,705
11.06,725
11.07,726
11.08,736
11.09,705
11.1,758
11.11,774
11.12,714
11.13,746
11.14,732
11.15,749
11.16,761
11.17,728
11.18,744
11.19,741
11.2,703
11.21,708
11.22,745
11.23,703
11.24,762
11.25,751
11.26,756
11.27,742
11.28,755
11.29,793
11.3,785
11.31,745
11.32,758
11.33,744
11.34,775
11.35,731
11.36,725
11.37,754
11.38,765
11.39,779
11.4,778
11.41,755
11.42,754
11.43,791
11.44,716
11.45,763
11.46,772
11.47,704
11.48,746
11.49,770
11.5,782
11.51,767
11.52,731
11.53,680
11.54,718
11.55,756
11.56,761
11.57,750
11.58,773
11.59,785
11.6,795
11.61,748
11.62,775
11.63,812
11.64,803
11.65,755
11.66,792
11.67,804
11.68,762
11.69,741
11.7,783
11.71,773
11.72,707
11.73,752
11.74,781
11.75,756
11.76,806
11.77,780
11.78,733
11.79,754
11.8,767
11.81,809
11.82,819
11.83,784
11.84,772
11.85,781
11.86,764
11.87,795
11.88,762
11.89,783
11.9,756
11.91,781
11.92,814
11.93,756
11.94,757
11.95,770
11.96,808
11.97,794
11.98,763
11.99,814
12,766
12.01,737
12.02,739
12.03,731
12.04,756
12.05,799
12.06,767
12.07,781
12.08,768
12.09,758
12.1,790
12.11,796
12.12,777
12.13,808
12.14,749
12.15,745
12.16,828
12.17,776
12.18,780
12.19,824
12.2,849
12.21,797
12.22,834
12.23,843
12.24,873
12.25,819
12.26,797
12.27,848
12.28,813
12.29,841
12.3,829
12.31,868
12.32,904
12.33,925
12.34,943
12.35,913
12.36,924
12.37,966
12.38,924
12.39,913
12.4,905
12.41,890
12.42,872
12.43,870
12.44,827
12.45,876
12.46,895
12.47,880
12.48,883
12.49,909
12.5,908
12.51,884
12.52,879
12.53,914
12.54,859
12.55,863
12.56,865
12.57,805
12.58,784
12.59,789
12.6,796
12.61,779
