"V1","V2"
2,1175
2.01,1060
2.02,1050
2.03,1061
2.04,1040
2.05,1004
2.06,1001
2.07,991
2.08,985
2.09,928
2.1,953
2.11,899
2.12,907
2.13,900
2.14,915
2.15,855
2.16,928
2.17,857
2.18,853
2.19,859
2.2,875
2.21,848
2.22,846
2.23,822
2.24,821
2.25,812
2.26,855
2.27,799
2.28,799
2.29,806
2.3,762
2.31,755
2.32,787
2.33,819
2.34,807
2.35,746
2.36,715
2.37,748
2.38,692
2.39,663
2.4,710
2.41,685
2.42,645
2.43,698
2.44,666
2.45,694
2.46,610
2.47,625
2.48,601
2.49,632
2.5,645
2.51,592
2.52,573
2.53,539
2.54,557
2.55,597
2.56,596
2.57,604
2.58,585
2.59,600
2.6,566
2.61,554
2.62,509
2.63,568
2.64,515
2.65,551
2.66,538
2.67,565
2.68,520
2.69,495
2.7,543
2.71,588
2.72,552
2.73,489
2.74,523
2.75,484
2.76,505
2.77,521
2.78,547
2.79,518
2.8,490
2.81,473
2.82,469
2.83,493
2.84,499
2.85,454
2.86,472
2.87,490
2.88,442
2.89,452
2.9,471
2.91,451
2.92,496
2.93,439
2.94,462
2.95,435
2.96,418
2.97,469
2.98,466
2.99,466
3,421
3.01,467
3.02,421
3.03,463
3.04,445
3.05,477
3.06,449
3.07,448
3.08,467
3.09,406
3.1,413
3.11,411
3.12,476
3.13,443
3.14,402
3.15,442
3.16,450
3.17,429
3.18,437
3.19,454
3.2,413
3.21,409
3.22,411
3.23,406
3.24,424
3.25,405
3.26,418
3.27,448
3.28,443
3.29,427
3.3,423
3.31,392
3.32,373
3.33,426
3.34,373
3.35,419
3.36,370
3.37,380
3.38,375
3.39,398
3.4,404
3.41,401
3.42,406
3.43,406
3.44,388
3.45,391
3.46,384
3.47,403
3.48,413
3.49,367
3.5,388
3.51,394
3.52,403
3.53,408
3.54,394
3.55,398
3.56,404
3.57,368
3.58,401
3.59,425
3.6,403
3.61,368
3.62,393
3.63,370
3.64,373
3.65,402
3.66,405
3.67,440
3.68,401
3.69,412
3.7,419
3.71,383
3.72,394
3.73,374
3.74,391
3.75,388
3.76,384
3.77,367
3.78,372
3.79,369
3.8,393
3.81,388
3.82,412
3.83,393
3.84,376
3.85,369
3.86,398
3.87,377
3.88,382
3.89,372
3.9,400
3.91,383
3.92,370
3.93,371
3.94,395
3.95,372
3.96,374
3.97,353
3.98,370
3.99,388
4,365
4.01,398
4.02,365
4.03,378
4.04,356
4.05,356
4.06,411
4.07,350
4.08,381
4.09,381
4.1,377
4.11,369
4.12,367
4.13,368
4.14,359
4.15,398
4.16,360
4.17,353
4.18,380
4.19,353
4.2,364
4.21,351
4.22,376
4.23,381
4.24,366
4.25,408
4.26,357
4.27,354
4.28,354
4.29,376
4.3,373
4.31,377
4.32,373
4.33,349
4.34,343
4.35,328
4.36,381
4.37,372
4.38,341
4.39,377
4.4,364
4.41,389
4.42,377
4.43,424
4.44,368
4.45,357
4.46,389
4.47,347
4.48,369
4.49,380
4.5,375
4.51,372
4.52,368
4.53,374
4.54,373
4.55,384
4.56,375
4.57,370
4.58,365
4.59,388
4.6,348
4.61,389
4.62,383
4.63,372
4.64,393
4.65,386
4.66,382
4.67,401
4.68,390
4.69,365
4.7,372
4.71,396
4.72,408
4.73,411
4.74,422
4.75,424
4.76,350
4.77,409
4.78,401
4.79,407
4.8,393
4.81,395
4.82,376
4.83,369
4.84,417
4.85,408
4.86,386
4.87,420
4.88,437
4.89,407
4.9,365
4.91,399
4.92,381
4.93,408
4.94,391
4.95,369
4.96,370
4.97,413
4.98,397
4.99,410
5,380
5.01,411
5.02,405
5.03,423
5.04,407
5.05,418
5.06,425
5.07,422
5.08,420
5.09,448
5.1,463
5.11,442
5.12,417
5.13,405
5.14,424
5.15,440
5.16,421
5.17,396
5.18,418
5.19,406
5.2,468
5.21,449
5.22,404
5.23,441
5.24,442
5.25,417
5.26,407
5.27,446
5.28,472
