"","column_names","site_pos","core_pos","depth_pos","depth_m","Label","Def1","season","year","site","depth","core"
"1","BARR_501_001","BARR","001","501",-0.02,"Keep",0,"spring3","3","BARR","501","001"
"2","BARR_502_001","BARR","001","502",-0.06,"Keep",0,"spring3","3","BARR","502","001"
"3","BARR_503_001","BARR","001","503",-0.16,"Exclude",NA,"spring3","3","BARR","503","001"
"4","BARR_505_001","BARR","001","505",-0.36,"Keep",0,"spring3","3","BARR","505","001"
"5","BARR_506_001","BARR","001","506",-0.56,"Keep",0,"spring3","3","BARR","506","001"
"6","BARR_507_001","BARR","001","507",-0.86,"Keep",0,"spring3","3","BARR","507","001"
"7","BARR_508_001","BARR","001","508",-1.36,"Keep",0,"spring3","3","BARR","508","001"
"8","BARR_509_001","BARR","001","509",-1.76,"Keep",0,"spring3","3","BARR","509","001"
"9","BARR_501_002","BARR","002","501",-0.02,"Keep",0,"spring3","3","BARR","501","002"
"10","BARR_502_002","BARR","002","502",-0.06,"Keep",0,"spring3","3","BARR","502","002"
"11","BARR_505_002","BARR","002","505",-0.36,"Exclude",NA,"spring3","3","BARR","505","002"
"12","BARR_507_002","BARR","002","507",-0.86,"Exclude",NA,"spring3","3","BARR","507","002"
"13","BARR_508_002","BARR","002","508",-1.36,"Keep",0,"spring3","3","BARR","508","002"
"14","BARR_509_002","BARR","002","509",-2.26,"Keep",0,"spring3","3","BARR","509","002"
"15","BARR_501_003","BARR","003","501",-0.01,"Keep",0,"spring3","3","BARR","501","003"
"16","BARR_502_003","BARR","003","502",-0.05,"Keep",0,"spring3","3","BARR","502","003"
"17","BARR_503_003","BARR","003","503",-0.15,"Exclude",NA,"spring3","3","BARR","503","003"
"18","BARR_505_003","BARR","003","505",-0.35,"Keep",0,"spring3","3","BARR","505","003"
"19","BARR_506_003","BARR","003","506",-0.55,"Keep",0,"spring3","3","BARR","506","003"
"20","BARR_507_003","BARR","003","507",-0.85,"Keep",0,"spring3","3","BARR","507","003"
"21","BARR_508_003","BARR","003","508",-1.35,"Keep",0,"spring3","3","BARR","508","003"
"22","BARR_509_003","BARR","003","509",-1.75,"Keep",0,"spring3","3","BARR","509","003"
"23","BARR_502_004","BARR","004","502",-0.06,"Keep",0,"spring3","3","BARR","502","004"
