"","column_names","site_pos","core_pos","depth_pos","depth_m","Label","Def1","season","year","site","depth","core","mag.vec","dur.vec"
"28","BARR_501_004","BARR",4,501,-0.02,"Keep",2,"fall",1,"BARR",501,4,"1.5","4"
"29","BARR_502_004","BARR",4,502,-0.06,"Keep",0,"fall",1,"BARR",502,4,"1.5","4"
"30","BARR_503_004","BARR",4,503,-0.16,"Keep",0,"fall",1,"BARR",503,4,"1.5","4"
"31","BARR_504_004","BARR",4,504,-0.26,"Keep",0,"fall",1,"BARR",504,4,"1.5","4"
"32","BARR_505_004","BARR",4,505,-0.36,"Keep",0,"fall",1,"BARR",505,4,"1.5","4"
"33","BARR_506_004","BARR",4,506,-0.56,"Keep",0,"fall",1,"BARR",506,4,"1.5","4"
"34","BARR_507_004","BARR",4,507,-0.86,"Keep",0,"fall",1,"BARR",507,4,"1.5","4"
"35","BARR_508_004","BARR",4,508,-1.36,"Keep",0,"fall",1,"BARR",508,4,"1.5","4"
"36","BARR_509_004","BARR",4,509,-1.96,"Keep",0,"fall",1,"BARR",509,4,"1.5","4"
"37","BARR_501_005","BARR",5,501,-0.02,"Keep",1,"fall",1,"BARR",501,5,"1.5","4"
"38","BARR_502_005","BARR",5,502,-0.06,"Keep",2,"fall",1,"BARR",502,5,"1.5","4"
"39","BARR_503_005","BARR",5,503,-0.16,"Keep",0,"fall",1,"BARR",503,5,"1.5","4"
"40","BARR_504_005","BARR",5,504,-0.26,"Keep",0,"fall",1,"BARR",504,5,"1.5","4"
"41","BARR_505_005","BARR",5,505,-0.36,"Keep",0,"fall",1,"BARR",505,5,"1.5","4"
"42","BARR_506_005","BARR",5,506,-0.56,"Keep",0,"fall",1,"BARR",506,5,"1.5","4"
"43","BARR_507_005","BARR",5,507,-0.86,"Keep",0,"fall",1,"BARR",507,5,"1.5","4"
"44","BARR_508_005","BARR",5,508,-1.36,"Keep",0,"fall",1,"BARR",508,5,"1.5","4"
"45","BARR_509_005","BARR",5,509,-1.86,"Keep",0,"fall",1,"BARR",509,5,"1.5","4"
"46","TOOL_501_001","TOOL",1,501,-0.02,"Exclude",NA,"fall",1,"TOOL",501,1,"1.5","4"
"47","TOOL_502_001","TOOL",1,502,-0.06,"Exclude",NA,"fall",1,"TOOL",502,1,"1.5","4"
"48","TOOL_503_001","TOOL",1,503,-0.16,"Exclude",NA,"fall",1,"TOOL",503,1,"1.5","4"
"49","TOOL_501_002","TOOL",2,501,-0.02,"Keep",2,"fall",1,"TOOL",501,2,"1.5","4"
"50","TOOL_502_002","TOOL",2,502,-0.06,"Keep",2,"fall",1,"TOOL",502,2,"1.5","4"
"51","TOOL_503_002","TOOL",2,503,-0.16,"Keep",0,"fall",1,"TOOL",503,2,"1.5","4"
"52","TOOL_504_002","TOOL",2,504,-0.26,"Keep",0,"fall",1,"TOOL",504,2,"1.5","4"
"53","TOOL_505_002","TOOL",2,505,-0.36,"Keep",0,"fall",1,"TOOL",505,2,"1.5","4"
"54","TOOL_506_002","TOOL",2,506,-0.46,"Keep",0,"fall",1,"TOOL",506,2,"1.5","4"
"55","TOOL_507_002","TOOL",2,507,-0.56,"Keep",0,"fall",1,"TOOL",507,2,"1.5","4"
"56","TOOL_501_003","TOOL",3,501,-0.02,"Exclude",NA,"fall",1,"TOOL",501,3,"1.5","4"
"57","TOOL_502_003","TOOL",3,502,-0.06,"Exclude",NA,"fall",1,"TOOL",502,3,"1.5","4"
